Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Purchase Level
2653,23,Female,Shorts,Clothing,20,Maryland,L,Cyan,Summer,3.3,No,No,46,Credit Card,Monthly,18-25,Low
2655,23,Female,Coat,Outerwear,70,Idaho,S,Pink,Fall,4.1,No,No,4,PayPal,Annually,18-25,Medium
2656,26,Female,Sunglasses,Accessories,83,Wyoming,M,Gray,Summer,3.4,No,No,2,Credit Card,Fortnightly,26-35,High
2661,24,Female,Pants,Clothing,85,South Carolina,L,Yellow,Spring,4.9,No,No,44,Venmo,Annually,18-25,High
2663,25,Female,Skirt,Clothing,98,Nebraska,M,Cyan,Summer,2.8,No,No,44,PayPal,Fortnightly,18-25,High
2665,22,Female,Jewelry,Accessories,84,Illinois,L,Silver,Winter,3.2,No,No,37,PayPal,Weekly,18-25,High
2671,30,Female,Sunglasses,Accessories,44,Pennsylvania,M,Yellow,Fall,4.7,No,No,26,Bank Transfer,Bi-Weekly,26-35,Medium
2676,24,Female,Shorts,Clothing,38,Virginia,M,Peach,Winter,3.4,No,No,38,Cash,Bi-Weekly,18-25,Medium
2682,23,Female,Shoes,Footwear,23,Massachusetts,L,Olive,Summer,4.8,No,No,17,Debit Card,Monthly,18-25,Low
2690,29,Female,Blouse,Clothing,35,Wyoming,M,Orange,Fall,3.9,No,No,47,PayPal,Quarterly,26-35,Medium
2700,25,Female,Boots,Footwear,96,Utah,M,Violet,Fall,3.6,No,No,49,Debit Card,Annually,18-25,High
2701,22,Female,T-shirt,Clothing,68,California,XL,Olive,Winter,3.2,No,No,36,Cash,Weekly,18-25,Medium
2707,24,Female,Shoes,Footwear,40,Alabama,S,Blue,Spring,3.1,No,No,48,Debit Card,Quarterly,18-25,Medium
2712,30,Female,Sunglasses,Accessories,22,Nebraska,L,Red,Spring,4.0,No,No,50,Venmo,Monthly,26-35,Low
2714,19,Female,Coat,Outerwear,57,Mississippi,M,Magenta,Fall,3.8,No,No,20,Debit Card,Annually,18-25,Medium
2716,25,Female,Sneakers,Footwear,92,Mississippi,XL,Pink,Winter,4.1,No,No,29,PayPal,Fortnightly,18-25,High
2718,18,Female,Sunglasses,Accessories,62,Nebraska,XL,Beige,Winter,4.3,No,No,19,Credit Card,Every 3 Months,18-25,Medium
2719,22,Female,Shorts,Clothing,90,Virginia,M,Peach,Winter,4.9,No,No,10,Venmo,Bi-Weekly,18-25,High
2722,19,Female,Sandals,Footwear,70,Minnesota,S,Teal,Spring,4.9,No,No,17,PayPal,Fortnightly,18-25,Medium
2723,23,Female,Hat,Accessories,83,Maine,M,Green,Spring,2.8,No,No,22,PayPal,Fortnightly,18-25,High
2729,26,Female,Skirt,Clothing,28,Florida,M,Pink,Winter,4.0,No,No,17,Debit Card,Weekly,26-35,Low
2731,23,Female,Gloves,Accessories,32,Wisconsin,M,Teal,Winter,4.1,No,No,37,Bank Transfer,Annually,18-25,Medium
2733,21,Female,Socks,Clothing,75,Delaware,L,Orange,Winter,4.2,No,No,27,Debit Card,Every 3 Months,18-25,High
2741,19,Female,Sunglasses,Accessories,70,Pennsylvania,M,Lavender,Summer,4.9,No,No,34,Bank Transfer,Fortnightly,18-25,Medium
2743,27,Female,Shoes,Footwear,86,Texas,M,Black,Spring,3.9,No,No,47,Debit Card,Annually,26-35,High
2746,28,Female,Boots,Footwear,98,Michigan,M,Magenta,Summer,4.1,No,No,44,PayPal,Bi-Weekly,26-35,High
2748,18,Female,Jeans,Clothing,62,West Virginia,M,Teal,Winter,3.1,No,No,21,Credit Card,Every 3 Months,18-25,Medium
2749,24,Female,Jacket,Outerwear,98,Virginia,L,Turquoise,Spring,3.0,No,No,16,Venmo,Annually,18-25,High
2752,27,Female,Dress,Clothing,52,Minnesota,S,Indigo,Fall,3.1,No,No,50,Venmo,Monthly,26-35,Medium
2764,28,Female,Handbag,Accessories,52,West Virginia,M,Green,Fall,2.9,No,No,35,Venmo,Quarterly,26-35,Medium
2773,18,Female,Backpack,Accessories,94,Pennsylvania,L,Blue,Spring,3.5,No,No,10,Bank Transfer,Every 3 Months,18-25,High
2784,19,Female,Skirt,Clothing,38,Virginia,M,Silver,Spring,4.5,No,No,26,Credit Card,Quarterly,18-25,Medium
2790,28,Female,Sweater,Clothing,85,North Carolina,L,Orange,Fall,5.0,No,No,28,Credit Card,Bi-Weekly,26-35,High
2800,23,Female,T-shirt,Clothing,89,Maine,L,Pink,Spring,3.9,No,No,9,Bank Transfer,Every 3 Months,18-25,High
2803,22,Female,Coat,Outerwear,100,Hawaii,L,Red,Fall,3.1,No,No,42,Credit Card,Fortnightly,18-25,High
2806,18,Female,Sunglasses,Accessories,97,Nevada,S,Black,Fall,4.3,No,No,48,Cash,Quarterly,18-25,High
2811,27,Female,Jeans,Clothing,31,Arizona,M,Purple,Summer,4.0,No,No,10,Debit Card,Fortnightly,26-35,Medium
2818,25,Female,Backpack,Accessories,65,South Carolina,XL,Yellow,Winter,3.4,No,No,6,Venmo,Weekly,18-25,Medium
2821,26,Female,Backpack,Accessories,89,Vermont,L,Yellow,Summer,3.9,No,No,5,Cash,Bi-Weekly,26-35,High
