Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Purchase Level
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Yes,14,Venmo,Fortnightly,46-55,Medium
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Yes,23,Credit Card,Weekly,46-55,High
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Yes,31,PayPal,Annually,36-45,Medium
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Yes,14,Venmo,Weekly,46-55,Low
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Yes,26,Bank Transfer,Bi-Weekly,46-55,Medium
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,Yes,36,Venmo,Quarterly,46-55,Medium
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Yes,17,Cash,Weekly,46-55,Medium
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Yes,22,Debit Card,Quarterly,26-35,Medium
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Yes,40,Credit Card,Weekly,26-35,High
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Yes,13,Credit Card,Annually,36-45,Low
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Yes,41,PayPal,Every 3 Months,46-55,High
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Yes,14,Credit Card,Weekly,26-35,Medium
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Yes,45,Venmo,Monthly,26-35,High
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Yes,37,Venmo,Annually,36-45,Medium
