Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Purchase Level
2657,52,Female,Shorts,Clothing,76,Indiana,L,Yellow,Winter,3.6,No,No,29,Bank Transfer,Fortnightly,46-55,High
2658,52,Female,Dress,Clothing,81,Texas,M,Pink,Summer,2.7,No,No,7,Credit Card,Fortnightly,46-55,High
2659,52,Female,Handbag,Accessories,47,Ohio,XL,Indigo,Summer,3.2,No,No,39,PayPal,Monthly,46-55,Medium
2660,35,Female,Boots,Footwear,35,Kansas,L,Gray,Summer,4.4,No,No,46,Credit Card,Fortnightly,26-35,Medium
2662,43,Female,Boots,Footwear,96,Michigan,XL,Olive,Fall,4.8,No,No,20,Bank Transfer,Annually,36-45,High
2664,46,Female,Sneakers,Footwear,52,Wisconsin,L,Silver,Fall,2.9,No,No,23,Bank Transfer,Annually,46-55,Medium
2667,49,Female,Sandals,Footwear,95,Ohio,S,Brown,Winter,4.1,No,No,14,Venmo,Fortnightly,46-55,High
2668,48,Female,Boots,Footwear,47,Maryland,M,Orange,Summer,4.1,No,No,31,Cash,Fortnightly,46-55,Medium
2670,39,Female,Belt,Accessories,28,Illinois,L,Teal,Spring,2.8,No,No,31,Credit Card,Weekly,36-45,Low
2672,37,Female,Sandals,Footwear,64,Alabama,XL,Gray,Winter,4.8,No,No,41,PayPal,Every 3 Months,36-45,Medium
2675,40,Female,Hat,Accessories,41,Florida,S,Charcoal,Fall,3.3,No,No,15,Cash,Every 3 Months,36-45,Medium
2677,43,Female,Backpack,Accessories,77,Kentucky,M,Maroon,Spring,3.6,No,No,3,Cash,Fortnightly,36-45,High
2678,45,Female,Shorts,Clothing,43,Connecticut,L,Olive,Spring,3.8,No,No,6,PayPal,Every 3 Months,36-45,Medium
2679,33,Female,Belt,Accessories,91,Montana,M,Magenta,Spring,3.4,No,No,34,Credit Card,Bi-Weekly,26-35,High
2680,53,Female,Shorts,Clothing,68,Montana,S,Yellow,Spring,3.8,No,No,7,Debit Card,Quarterly,46-55,Medium
2681,44,Female,Socks,Clothing,37,Nebraska,L,Indigo,Fall,3.3,No,No,21,Venmo,Annually,36-45,Medium
2685,46,Female,Dress,Clothing,45,Washington,M,Gray,Summer,4.7,No,No,42,Credit Card,Bi-Weekly,46-55,Medium
2687,40,Female,Socks,Clothing,72,Georgia,M,Black,Winter,3.8,No,No,33,Cash,Fortnightly,36-45,High
2689,53,Female,Handbag,Accessories,63,West Virginia,XL,Turquoise,Spring,2.9,No,No,18,Credit Card,Every 3 Months,46-55,Medium
2691,44,Female,Belt,Accessories,32,New Mexico,L,Yellow,Summer,4.7,No,No,18,Bank Transfer,Weekly,36-45,Medium
2692,43,Female,Pants,Clothing,25,Nebraska,L,Blue,Winter,3.3,No,No,48,Cash,Monthly,36-45,Low
2693,40,Female,Sneakers,Footwear,90,Washington,XL,Violet,Spring,4.2,No,No,18,Debit Card,Every 3 Months,36-45,High
2694,55,Female,Boots,Footwear,70,Hawaii,L,Lavender,Summer,2.6,No,No,46,Cash,Quarterly,46-55,Medium
2696,50,Female,Hat,Accessories,92,Tennessee,M,Orange,Fall,3.6,No,No,10,PayPal,Bi-Weekly,46-55,High
2698,42,Female,Jacket,Outerwear,52,Delaware,L,Red,Winter,3.2,No,No,36,Bank Transfer,Quarterly,36-45,Medium
2699,55,Female,Hoodie,Clothing,57,Virginia,M,Magenta,Summer,3.6,No,No,34,Venmo,Quarterly,46-55,Medium
2702,49,Female,Sweater,Clothing,30,Idaho,L,Silver,Summer,2.8,No,No,18,Bank Transfer,Fortnightly,46-55,Low
2705,52,Female,Dress,Clothing,54,Tennessee,L,Beige,Spring,3.4,No,No,35,Debit Card,Weekly,46-55,Medium
2708,32,Female,Backpack,Accessories,88,Nebraska,M,Pink,Fall,4.2,No,No,19,Cash,Weekly,26-35,High
