Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Purchase Level
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Yes,49,Cash,Quarterly,56+,High
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,Yes,4,Cash,Quarterly,56+,Medium
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Yes,37,Venmo,Fortnightly,56+,High
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Yes,31,PayPal,Weekly,56+,Medium
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Yes,34,Debit Card,Weekly,56+,Medium
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Yes,8,PayPal,Monthly,56+,High
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Yes,46,Debit Card,Bi-Weekly,56+,High
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Yes,32,Debit Card,Annually,56+,Medium
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Yes,7,Bank Transfer,Every 3 Months,56+,Medium
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Yes,16,Credit Card,Monthly,56+,Medium
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Yes,18,Credit Card,Monthly,56+,Medium
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Yes,31,Debit Card,Quarterly,56+,High
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Yes,40,Venmo,Annually,56+,Medium
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Yes,45,Cash,Quarterly,56+,Medium
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Yes,34,Debit Card,Bi-Weekly,56+,Low
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,Yes,7,Credit Card,Quarterly,56+,Medium
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Yes,29,Venmo,Monthly,56+,Medium
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Yes,4,Debit Card,Weekly,56+,High
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Yes,18,Debit Card,Fortnightly,56+,High
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Yes,44,Venmo,Every 3 Months,56+,Medium
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Yes,21,Cash,Every 3 Months,56+,Medium
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Yes,21,Credit Card,Annually,56+,High
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Yes,36,Credit Card,Every 3 Months,56+,High
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Yes,13,Venmo,Every 3 Months,56+,High
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Yes,28,Credit Card,Weekly,56+,High
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Yes,31,Cash,Fortnightly,56+,High
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Yes,4,Bank Transfer,Annually,56+,High
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Yes,31,Credit Card,Monthly,56+,Medium
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Yes,32,Bank Transfer,Bi-Weekly,56+,High
